,movie,year,timeMin,imdb,metascore,votes,us_grossMi11ions
0,Knives Out,2019,130,7.9,82.0,371394,165.36
1,Dil Bechara,2020,101,8.9,,98013,
2,Hamilton,2020,160,8.8,90.0,35579,
3,Joker,2019,122,8.5,59.0,846683,335.45
4,Jojo Rabbit,2019,108,7.9,58.0,250021,0.35
5,The Peanut Butter Falcon,2019,97,7.6,70.0,48993,13.12
6,Once Upon a Time... In Hollywood,2019,161,7.6,83.0,503573,142.5
7,Jurassic Park,1993,127,8.1,68.0,844368,402.45
8,The Gentlemen,2019,113,7.9,51.0,175747,
9,Inception,2010,148,8.8,74.0,1997306,292.58
10,Avengers: Endgame,2019,181,8.4,78.0,750846,858.37
11,Parasite,2019,132,8.6,96.0,465448,53.37
12,The Shawshank Redemption,1994,142,9.3,80.0,2275433,28.34
13,Interstellar,2014,169,8.6,74.0,1444752,188.02
14,1917,2019,119,8.3,78.0,358908,159.23
15,The Godfather,1972,175,9.2,100.0,1569838,134.97
16,Ford v Ferrari,2019,152,8.1,81.0,248799,117.62
17,Little Women,2019,135,7.8,91.0,120893,108.1
18,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,623964,317.58
19,The Wolf of Wall Street,2013,180,8.2,75.0,1139099,116.9
20,The Dark Knight,2008,152,9.0,84.0,2237538,534.86
21,Mad Max: Fury Road,2015,120,8.1,90.0,855064,154.06
22,The Revenant,2015,156,8.0,76.0,683777,183.64
23,Pride & Prejudice,2005,129,7.8,82.0,247170,38.41
24,The Shining,1980,146,8.4,66.0,867847,44.02
25,The Matrix,1999,136,8.7,73.0,1629745,171.48
26,Pulp Fiction,1994,154,8.9,94.0,1777608,107.93
27,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1617811,315.54
28,The Silence of the Lambs,1991,118,8.6,85.0,1232081,130.74
29,Back to the Future,1985,116,8.5,87.0,1025600,210.61
30,Gladiator,2000,155,8.5,67.0,1306235,187.71
31,Blade Runner 2049,2017,164,8.0,81.0,439835,92.05
32,Titanic,1997,194,7.8,75.0,1022103,659.33
33,Fight Club,1999,139,8.8,66.0,1804822,37.03
34,Moana,2016,107,7.6,81.0,260217,248.76
35,Goodfellas,1990,146,8.7,90.0,989765,46.84
36,Apocalypse Now,1979,147,8.4,94.0,590309,83.47
37,No Country for Old Men,2007,122,8.1,91.0,830082,74.28
38,Avengers: Infinity War,2018,149,8.4,68.0,794149,678.82
39,The Irishman,2019,209,7.9,94.0,303188,7.0
40,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,888507,34.4
41,Se7en,1995,127,8.6,65.0,1399654,100.13
42,Inglourious Basterds,2009,153,8.3,69.0,1227800,120.54
43,Tombstone,1993,130,7.8,50.0,122986,56.51
44,Django Unchained,2012,165,8.4,81.0,1315674,162.81
45,Gone Girl,2014,149,8.1,79.0,831755,167.77
46,Heat,1995,170,8.2,76.0,561519,67.44
47,The Prestige,2006,130,8.5,66.0,1152968,53.09
48,The Dark Knight Rises,2012,164,8.4,78.0,1478120,448.14
49,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63.0,1000510,305.41
